"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","2-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","","","","","","","/表章事項 コード","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01"
"","","","","","","","","","","","","/表章事項 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","/表章事項","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】"
"","","","","","","","","","","","","/年齢 コード","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015"
"","","","","","","","","","","","","/年齢 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","国籍総数か日本人 コード","国籍総数か日本人 補助コード","国籍総数か日本人","男女 コード","男女 補助コード","男女","全国～人口50万以上の市 コード","全国～人口50万以上の市 補助コード","全国～人口50万以上の市","/年齢","0歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10歳","11歳","12歳","13歳","14歳"
"2020000000","","2020年","0","","国籍総数","0","","総数","00000","","全国","","831,824","866,525","910,005","934,063","973,665","998,664","996,576","1,020,657","1,024,325","1,048,871","1,057,736","1,063,185","1,083,113","1,077,379","1,069,104"
"2020000000","","2020年","0","","国籍総数","0","","総数","01000","","北海道","","29,612","31,000","32,661","33,672","35,428","36,496","37,233","37,813","38,578","39,363","40,192","39,993","41,032","41,514","41,217"
"2020000000","","2020年","0","","国籍総数","0","","総数","02000","","青森県","","6,658","6,983","7,526","7,813","8,354","8,218","8,683","8,634","8,836","9,149","9,355","9,250","9,801","9,755","10,097"
"2020000000","","2020年","0","","国籍総数","0","","総数","03000","","岩手県","","6,555","7,064","7,453","8,023","8,249","8,687","8,771","9,088","9,154","9,391","9,727","9,854","10,035","10,246","10,150"
"2020000000","","2020年","0","","国籍総数","0","","総数","04000","","宮城県","","14,186","15,169","15,887","16,433","17,479","18,033","17,925","18,903","18,355","18,850","19,280","18,970","20,109","19,534","19,315"
"2020000000","","2020年","0","","国籍総数","0","","総数","05000","","秋田県","","4,357","4,757","5,039","5,398","5,720","5,867","6,029","6,249","6,464","6,695","6,881","7,012","7,321","7,471","7,413"
"2020000000","","2020年","0","","国籍総数","0","","総数","06000","","山形県","","6,214","6,414","6,915","7,150","7,605","7,786","8,069","8,025","8,214","8,609","8,671","8,787","9,172","9,102","9,353"
"2020000000","","2020年","0","","国籍総数","0","","総数","07000","","福島県","","10,782","11,398","12,209","12,830","13,380","13,776","14,271","13,973","13,405","14,275","14,515","14,799","15,279","15,459","15,801"
"2020000000","","2020年","0","","国籍総数","0","","総数","08000","","茨城県","","17,321","18,071","19,376","20,310","21,213","21,950","22,118","22,753","23,151","23,635","23,973","24,624","25,097","25,149","25,000"
