都道府県,lat,lon
北海道,43.42,142.78
青森県,40.69,140.72
岩手県,39.51,141.39
宮城県,38.38,140.94
秋田県,39.67,140.39
山形県,38.49,140.10
福島県,37.41,140.23
茨城県,36.30,140.38
栃木県,36.68,139.81
群馬県,36.48,138.92
埼玉県,36.00,138.36
千葉県,35.47,140.22
東京都,35.68,139.53
神奈川県,35.40,139.34
新潟県,37.36,138.88
富山県,36.60,137.28
石川県,36.77,136.77
福井県,35.81,136.18
山梨県,35.60,138.62
長野県,36.14,138.02
岐阜県,35.77,137.05
静岡県,35.03,138.31
愛知県,35.00,137.20
三重県,34.48,136.13
滋賀県,35.22,136.13
京都府,35.22,135.51
大阪府,34.59,135.54
兵庫県,35.06,134.79
奈良県,34.29,135.89
和歌山県,33.84,133.85
鳥取県,35.39,133.85
島根県,34.97,132.42
岡山県,34.86,133.83
広島県,34.58,132.79
山口県,34.22,131.43
徳島県,33.91,134.27
香川県,34.21,133.97
愛媛県,33.66,132.83
高知県,33.50,133.36
福岡県,33.59,130.68
佐賀県,33.27,130.11
長崎県,32.95,129.71
熊本県,32.58,130.80
大分県,33.20,131.41
宮崎県,32.20,131.41
鹿児島県,31.35,130.41
沖縄県,26.47,127.92
